ORGNR,ORGNAVN,REGION,KOMPLEKSNR,KOMPLNAVN,EIENDOMSNR,EIENDOMSNAVN,ADRESSE1,POSTNR,POSTSTED,EIENDOMSTYPE,KOMMUNE,GNR,BNR,FNR,SNR,GID,EIEFORHOLD,ERVERVAAR,TOMTEAREAL,BYGGNR,BYGGNAVN,GABNR,OPPFORTAAR,BYGGEIEFORHOLD,BRUTTO_BTA_SUM,MAALT_AREAL_SUM
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1300,GULBYGGET,192577462,1950,Eid,1371.5,1371.5
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1300,GULBYGGET,192577462,1950,Eid,1371.5,1371.5
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1300,GULBYGGET,192577462,1950,Eid,1371.5,1371.5
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1300,GULBYGGET,192577462,1950,Eid,1371.5,1371.5
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1301,RØDBYGGET,192577470,1950,Eid,782.1,782.1
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1301,RØDBYGGET,192577470,1950,Eid,782.1,782.1
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1301,RØDBYGGET,192577470,1950,Eid,782.1,782.1
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1301,RØDBYGGET,192577470,1950,Eid,782.1,782.1
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1302,FJØS,192566983,1950,Eid,412.9,412.9
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1302,FJØS,192566983,1950,Eid,412.9,412.9
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1302,FJØS,192566983,1950,Eid,412.9,412.9
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1302,FJØS,192566983,1950,Eid,412.9,412.9
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1303,SKIBUA,192577489,1960,Eid,156.8,156.8
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1303,SKIBUA,192577489,1960,Eid,156.8,156.8
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1303,SKIBUA,192577489,1960,Eid,156.8,156.8
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,1303,SKIBUA,192577489,1960,Eid,156.8,156.8
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,2252,3. BYGGETRINN,14526935,1992,Eid,6514.4,6514.4
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,2252,3. BYGGETRINN,14526935,1992,Eid,6514.4,6514.4
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,2252,3. BYGGETRINN,14526935,1992,Eid,6514.4,6514.4
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,2252,3. BYGGETRINN,14526935,1992,Eid,6514.4,6514.4
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,11119,PAVILJONG 3,19898369,1997,Eid,359.4,359.4
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,11119,PAVILJONG 3,19898369,1997,Eid,359.4,359.4
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,11119,PAVILJONG 3,19898369,1997,Eid,359.4,359.4
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,11119,PAVILJONG 3,19898369,1997,Eid,359.4,359.4
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,12151,PAVILJONG 4,11665497,1990,Eid,184.5,184.5
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,12151,PAVILJONG 4,11665497,1990,Eid,184.5,184.5
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,12151,PAVILJONG 4,11665497,1990,Eid,184.5,184.5
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,12157,NØKKELSTIEN 3,11668801,1989,Eid,190,
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,12157,NØKKELSTIEN 3,11668801,1989,Eid,190,
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,12157,NØKKELSTIEN 3,11668801,1989,Eid,190,
1428-4,"STATSBYGG, REGION NORD",1428-4,453,"UIT, CAMPUS ALTA",738,KOBBERSTAD HØGSKOLEN I ALTA,FOLLUMSVEG,9500,,UNDERVISNING/FORSKNING,2012,28,5,0,0,2012/28/5/0,EID,,,12157,NØKKELSTIEN 3,11668801,1989,Eid,190,
1428-1,"STATSBYGG, REGION ØST",1428-1,802,"HØGSKOLEN I ØSTFOLD, HALDEN",1104,"HØGSKOLEN, REMMEN",BRA-veien 4,1763,HALDEN,UNDERVISNING/FORSKNING,101,60,17,0,0,101/60/17/0,EID,20020103,,1943,HOVEDBYGNING,6205364,1973,Eid,31553.8,32993.9
1428-1,"STATSBYGG, REGION ØST",1428-1,802,"HØGSKOLEN I ØSTFOLD, HALDEN",1104,"HØGSKOLEN, REMMEN",BRA-veien 4,1763,HALDEN,UNDERVISNING/FORSKNING,101,60,17,0,0,101/60/17/0,EID,20020103,,1943,HOVEDBYGNING,6205364,1973,Eid,31553.8,32993.9
1428-1,"STATSBYGG, REGION ØST",1428-1,802,"HØGSKOLEN I ØSTFOLD, HALDEN",1104,"HØGSKOLEN, REMMEN",BRA-veien 4,1763,HALDEN,UNDERVISNING/FORSKNING,101,60,17,0,0,101/60/17/0,EID,20020103,,1943,HOVEDBYGNING,6205364,1973,Eid,31553.8,32993.9
1428-1,"STATSBYGG, REGION ØST",1428-1,802,"HØGSKOLEN I ØSTFOLD, HALDEN",1104,"HØGSKOLEN, REMMEN",BRA-veien 4,1763,HALDEN,UNDERVISNING/FORSKNING,101,60,17,0,0,101/60/17/0,EID,20020103,,12260,SVØMMEHALL,6208045,1973,Eid,1222.9,1222.9
1428-1,"STATSBYGG, REGION ØST",1428-1,802,"HØGSKOLEN I ØSTFOLD, HALDEN",1104,"HØGSKOLEN, REMMEN",BRA-veien 4,1763,HALDEN,UNDERVISNING/FORSKNING,101,60,17,0,0,101/60/17/0,EID,20020103,,12260,SVØMMEHALL,6208045,1973,Eid,1222.9,1222.9
1428-1,"STATSBYGG, REGION ØST",1428-1,802,"HØGSKOLEN I ØSTFOLD, HALDEN",1104,"HØGSKOLEN, REMMEN",BRA-veien 4,1763,HALDEN,UNDERVISNING/FORSKNING,101,60,17,0,0,101/60/17/0,EID,20020103,,12260,SVØMMEHALL,6208045,1973,Eid,1222.9,1222.9
1428-1,"STATSBYGG, REGION ØST",1428-1,802,"HØGSKOLEN I ØSTFOLD, HALDEN",1104,"HØGSKOLEN, REMMEN",BRA-veien 4,1763,HALDEN,UNDERVISNING/FORSKNING,101,60,17,0,0,101/60/17/0,EID,20020103,,14662,GARASJE,300305678,1973,Eid,114,
1428-1,"STATSBYGG, REGION ØST",1428-1,802,"HØGSKOLEN I ØSTFOLD, HALDEN",1104,"HØGSKOLEN, REMMEN",BRA-veien 4,1763,HALDEN,UNDERVISNING/FORSKNING,101,60,17,0,0,101/60/17/0,EID,20020103,,14662,GARASJE,300305678,1973,Eid,114,
1428-1,"STATSBYGG, REGION ØST",1428-1,802,"HØGSKOLEN I ØSTFOLD, HALDEN",1104,"HØGSKOLEN, REMMEN",BRA-veien 4,1763,HALDEN,UNDERVISNING/FORSKNING,101,60,17,0,0,101/60/17/0,EID,20020103,,14662,GARASJE,300305678,1973,Eid,114,
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2120,JOTKAJAVRE FJELLSTUE GJESTESTUE,192597978,1920,Eid,64.2,64.2,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((11.222818839328985 59.11085492516686,11.222876472315106 59.110593142192144,11.222350969386758 59.110646073203746,11.22222036639502 59.11082232451496,11.222818839328985 59.11085492516686))"
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2120,JOTKAJAVRE FJELLSTUE GJESTESTUE,192597978,1920,Eid,64.2,64.2,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((23.93502033912562 69.7544430303032,23.934472666141357 69.7539763799694,23.93227634520233 69.75449796805727,23.93287465989178 69.7546744643401,23.93306472773363 69.7551972867263,23.93382908873095 69.75514254455621,23.93502033912562 69.7544430303032))"
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2121,JOTKAJAVRE FJELL. OPPSITTERBOLIG,192554314,1951,Eid,199.3,199.3,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((11.222818839328985 59.11085492516686,11.222876472315106 59.110593142192144,11.222350969386758 59.110646073203746,11.22222036639502 59.11082232451496,11.222818839328985 59.11085492516686))"
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2121,JOTKAJAVRE FJELL. OPPSITTERBOLIG,192554314,1951,Eid,199.3,199.3,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((23.93502033912562 69.7544430303032,23.934472666141357 69.7539763799694,23.93227634520233 69.75449796805727,23.93287465989178 69.7546744643401,23.93306472773363 69.7551972867263,23.93382908873095 69.75514254455621,23.93502033912562 69.7544430303032))"
